2025-02-03 15:22:24.738 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-02-03 15:22:24.740 | INFO     | __main__:<module>:50 - Project root: C:\Users\adria\Projects\buzzline-04-vega
2025-02-03 15:22:24.740 | INFO     | __main__:<module>:54 - Data folder: C:\Users\adria\Projects\buzzline-04-vega\data
2025-02-03 15:22:24.740 | INFO     | __main__:<module>:58 - Data file: C:\Users\adria\Projects\buzzline-04-vega\data\buzz_live.json
2025-02-03 15:22:24.740 | INFO     | __main__:main:125 - START producer...
2025-02-03 15:22:24.740 | INFO     | __main__:main:126 - Hit CTRL c (or CMD c) to close.
2025-02-03 15:22:24.741 | INFO     | __main__:get_message_interval:40 - Message interval: 3 seconds
2025-02-03 15:22:24.741 | INFO     | __main__:main:134 - {'message': 'I just loved a meme! It was boring.', 'author': 'Alice'}
2025-02-03 15:22:27.742 | INFO     | __main__:main:134 - {'message': 'I just shared a trick! It was funny.', 'author': 'Charlie'}
2025-02-03 15:22:30.510 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-02-03 15:22:30.511 | INFO     | __main__:<module>:38 - Project root: C:\Users\adria\Projects\buzzline-04-vega
2025-02-03 15:22:30.511 | INFO     | __main__:<module>:39 - Data folder: C:\Users\adria\Projects\buzzline-04-vega\data
2025-02-03 15:22:30.511 | INFO     | __main__:<module>:40 - Data file: C:\Users\adria\Projects\buzzline-04-vega\data\buzz_live.json
2025-02-03 15:22:30.744 | INFO     | __main__:main:134 - {'message': 'I just found a story! It was amazing.', 'author': 'Bob'}
2025-02-03 15:22:32.261 | INFO     | __main__:main:155 - START consumer.
2025-02-03 15:22:33.745 | INFO     | __main__:main:134 - {'message': 'I just saw a movie! It was exciting.', 'author': 'Alice'}
2025-02-03 15:22:33.770 | INFO     | __main__:process_message:115 - Processed JSON message: {'message': 'I just saw a movie! It was exciting.', 'author': 'Alice'}
2025-02-03 15:22:33.770 | INFO     | __main__:process_message:121 - Message received from author: Alice
2025-02-03 15:22:33.770 | INFO     | __main__:process_message:127 - Updated author counts: {'Alice': 1}
2025-02-03 15:22:33.890 | INFO     | __main__:process_message:133 - Chart updated successfully for message: {"message": "I just saw a movie! It was exciting.", "author": "Alice"}

2025-02-03 15:22:36.747 | INFO     | __main__:main:134 - {'message': 'I just shared an app! It was boring.', 'author': 'Charlie'}
2025-02-03 15:22:36.896 | INFO     | __main__:process_message:115 - Processed JSON message: {'message': 'I just shared an app! It was boring.', 'author': 'Charlie'}
2025-02-03 15:22:36.897 | INFO     | __main__:process_message:121 - Message received from author: Charlie
2025-02-03 15:22:36.897 | INFO     | __main__:process_message:127 - Updated author counts: {'Alice': 1, 'Charlie': 1}
2025-02-03 15:22:36.936 | INFO     | __main__:process_message:133 - Chart updated successfully for message: {"message": "I just shared an app! It was boring.", "author": "Charlie"}

2025-02-03 15:22:39.748 | INFO     | __main__:main:134 - {'message': 'I just shared a story! It was exciting.', 'author': 'Bob'}
2025-02-03 15:22:39.941 | INFO     | __main__:process_message:115 - Processed JSON message: {'message': 'I just shared a story! It was exciting.', 'author': 'Bob'}
2025-02-03 15:22:39.943 | INFO     | __main__:process_message:121 - Message received from author: Bob
2025-02-03 15:22:39.943 | INFO     | __main__:process_message:127 - Updated author counts: {'Alice': 1, 'Charlie': 1, 'Bob': 1}
2025-02-03 15:22:39.989 | INFO     | __main__:process_message:133 - Chart updated successfully for message: {"message": "I just shared a story! It was exciting.", "author": "Bob"}

2025-02-03 15:22:42.750 | INFO     | __main__:main:134 - {'message': 'I just tried an app! It was boring.', 'author': 'Alice'}
2025-02-03 15:22:42.994 | INFO     | __main__:process_message:115 - Processed JSON message: {'message': 'I just tried an app! It was boring.', 'author': 'Alice'}
2025-02-03 15:22:42.994 | INFO     | __main__:process_message:121 - Message received from author: Alice
2025-02-03 15:22:42.996 | INFO     | __main__:process_message:127 - Updated author counts: {'Alice': 2, 'Charlie': 1, 'Bob': 1}
2025-02-03 15:22:43.046 | INFO     | __main__:process_message:133 - Chart updated successfully for message: {"message": "I just tried an app! It was boring.", "author": "Alice"}

